2021-05-02 13:07:16,828 - Eye - INFO - Train Dataset uploaded!
2021-05-02 13:07:16,828 - Eye - INFO - device:cuda
2021-05-02 13:08:30,422 - Eye - INFO - ['Epoch:00, Iter: 20, Lr:0.00010000', 'Loss:1.7178', 'train_acc:22.50']
2021-05-02 13:08:39,381 - Eye - INFO - ['Epoch:00, Iter: 40, Lr:0.00010000', 'Loss:1.6052', 'train_acc:28.48']
2021-05-02 13:08:48,403 - Eye - INFO - ['Epoch:00, Iter: 60, Lr:0.00010000', 'Loss:1.5764', 'train_acc:31.80']
2021-05-02 13:08:57,664 - Eye - INFO - ['Epoch:00, Iter: 80, Lr:0.00010000', 'Loss:1.3794', 'train_acc:34.55']
2021-05-02 13:09:07,078 - Eye - INFO - ['Epoch:00, Iter:100, Lr:0.00010000', 'Loss:1.4297', 'train_acc:36.89']
2021-05-02 13:09:16,558 - Eye - INFO - ['Epoch:00, Iter:120, Lr:0.00010000', 'Loss:1.3454', 'train_acc:38.88']
2021-05-02 13:09:25,597 - Eye - INFO - ['Epoch:00, Iter:140, Lr:0.00010000', 'Loss:1.4676', 'train_acc:40.70']
2021-05-02 13:09:34,829 - Eye - INFO - ['Epoch:00, Iter:160, Lr:0.00010000', 'Loss:1.2424', 'train_acc:41.77']
2021-05-02 13:09:44,241 - Eye - INFO - ['Epoch:00, Iter:180, Lr:0.00010000', 'Loss:1.0230', 'train_acc:42.97']
2021-05-02 13:09:53,780 - Eye - INFO - ['Epoch:00, Iter:200, Lr:0.00010000', 'Loss:1.1933', 'train_acc:43.97']
2021-05-02 13:10:03,180 - Eye - INFO - ['Epoch:00, Iter:220, Lr:0.00010000', 'Loss:1.0742', 'train_acc:44.87']
2021-05-02 13:10:12,538 - Eye - INFO - ['Epoch:00, Iter:240, Lr:0.00010000', 'Loss:1.0442', 'train_acc:45.76']
2021-05-02 13:10:22,092 - Eye - INFO - ['Epoch:00, Iter:260, Lr:0.00010000', 'Loss:1.0273', 'train_acc:46.48']
2021-05-02 13:10:31,361 - Eye - INFO - ['Epoch:00, Iter:280, Lr:0.00010000', 'Loss:1.0389', 'train_acc:47.21']
2021-05-02 13:10:35,816 - Eye - INFO - ['Epoch:00, Lr:0.00010000, Cost:139.59s', 'Loss:1.2859', 'train_acc:47.23', 'val_acc:28.12', 'val_loss:1.43']
2021-05-02 13:10:47,886 - Eye - INFO - ['Epoch:01, Iter: 20, Lr:0.00005000', 'Loss:1.1712', 'train_acc:56.17']
2021-05-02 13:10:57,342 - Eye - INFO - ['Epoch:01, Iter: 40, Lr:0.00005000', 'Loss:1.0381', 'train_acc:56.84']
2021-05-02 13:11:06,681 - Eye - INFO - ['Epoch:01, Iter: 60, Lr:0.00005000', 'Loss:1.0530', 'train_acc:57.11']
2021-05-02 13:11:16,033 - Eye - INFO - ['Epoch:01, Iter: 80, Lr:0.00005000', 'Loss:0.9892', 'train_acc:57.11']
2021-05-02 13:11:25,418 - Eye - INFO - ['Epoch:01, Iter:100, Lr:0.00005000', 'Loss:1.0436', 'train_acc:57.06']
2021-05-02 13:11:34,926 - Eye - INFO - ['Epoch:01, Iter:120, Lr:0.00005000', 'Loss:1.0258', 'train_acc:57.41']
2021-05-02 13:11:44,423 - Eye - INFO - ['Epoch:01, Iter:140, Lr:0.00005000', 'Loss:0.9268', 'train_acc:57.54']
2021-05-02 13:11:53,664 - Eye - INFO - ['Epoch:01, Iter:160, Lr:0.00005000', 'Loss:1.2073', 'train_acc:57.64']
2021-05-02 13:12:03,085 - Eye - INFO - ['Epoch:01, Iter:180, Lr:0.00005000', 'Loss:0.8873', 'train_acc:57.78']
2021-05-02 13:12:12,520 - Eye - INFO - ['Epoch:01, Iter:200, Lr:0.00005000', 'Loss:0.9857', 'train_acc:58.05']
2021-05-02 13:12:21,996 - Eye - INFO - ['Epoch:01, Iter:220, Lr:0.00005000', 'Loss:1.0822', 'train_acc:58.23']
2021-05-02 13:12:31,322 - Eye - INFO - ['Epoch:01, Iter:240, Lr:0.00005000', 'Loss:0.8934', 'train_acc:58.29']
2021-05-02 13:12:40,723 - Eye - INFO - ['Epoch:01, Iter:260, Lr:0.00005000', 'Loss:0.8477', 'train_acc:58.10']
2021-05-02 13:12:50,313 - Eye - INFO - ['Epoch:01, Iter:280, Lr:0.00005000', 'Loss:1.2546', 'train_acc:58.23']
2021-05-02 13:12:54,853 - Eye - INFO - ['Epoch:01, Lr:0.00005000, Cost:138.93s', 'Loss:1.2502', 'train_acc:58.22', 'val_acc:33.85', 'val_loss:1.31']
2021-05-02 13:13:06,860 - Eye - INFO - ['Epoch:02, Iter: 20, Lr:0.00002500', 'Loss:0.9274', 'train_acc:60.39']
2021-05-02 13:13:16,198 - Eye - INFO - ['Epoch:02, Iter: 40, Lr:0.00002500', 'Loss:0.8671', 'train_acc:60.98']
2021-05-02 13:13:25,408 - Eye - INFO - ['Epoch:02, Iter: 60, Lr:0.00002500', 'Loss:1.0002', 'train_acc:61.20']
2021-05-02 13:13:34,910 - Eye - INFO - ['Epoch:02, Iter: 80, Lr:0.00002500', 'Loss:0.9632', 'train_acc:61.43']
2021-05-02 13:13:44,471 - Eye - INFO - ['Epoch:02, Iter:100, Lr:0.00002500', 'Loss:1.0647', 'train_acc:61.33']
2021-05-02 13:13:53,642 - Eye - INFO - ['Epoch:02, Iter:120, Lr:0.00002500', 'Loss:0.9101', 'train_acc:61.59']
2021-05-02 13:14:02,792 - Eye - INFO - ['Epoch:02, Iter:140, Lr:0.00002500', 'Loss:0.8937', 'train_acc:62.14']
2021-05-02 13:14:12,113 - Eye - INFO - ['Epoch:02, Iter:160, Lr:0.00002500', 'Loss:0.8376', 'train_acc:62.28']
2021-05-02 13:14:21,489 - Eye - INFO - ['Epoch:02, Iter:180, Lr:0.00002500', 'Loss:1.0441', 'train_acc:62.55']
2021-05-02 13:14:30,958 - Eye - INFO - ['Epoch:02, Iter:200, Lr:0.00002500', 'Loss:0.9018', 'train_acc:62.92']
2021-05-02 13:14:40,568 - Eye - INFO - ['Epoch:02, Iter:220, Lr:0.00002500', 'Loss:0.8938', 'train_acc:63.12']
2021-05-02 13:14:50,160 - Eye - INFO - ['Epoch:02, Iter:240, Lr:0.00002500', 'Loss:0.8140', 'train_acc:63.42']
2021-05-02 13:14:59,608 - Eye - INFO - ['Epoch:02, Iter:260, Lr:0.00002500', 'Loss:0.7955', 'train_acc:63.49']
2021-05-02 13:15:08,420 - Eye - INFO - ['Epoch:02, Iter:280, Lr:0.00002500', 'Loss:0.7505', 'train_acc:63.72']
2021-05-02 13:15:12,819 - Eye - INFO - ['Epoch:02, Lr:0.00002500, Cost:137.86s', 'Loss:0.8856', 'train_acc:63.72', 'val_acc:21.61', 'val_loss:1.85']
2021-05-02 13:15:25,548 - Eye - INFO - ['Epoch:03, Iter: 20, Lr:0.00002500', 'Loss:0.9189', 'train_acc:69.14']
2021-05-02 13:15:34,844 - Eye - INFO - ['Epoch:03, Iter: 40, Lr:0.00002500', 'Loss:0.9506', 'train_acc:69.02']
2021-05-02 13:15:44,318 - Eye - INFO - ['Epoch:03, Iter: 60, Lr:0.00002500', 'Loss:0.8046', 'train_acc:69.43']
2021-05-02 13:15:53,588 - Eye - INFO - ['Epoch:03, Iter: 80, Lr:0.00002500', 'Loss:0.7736', 'train_acc:70.14']
2021-05-02 13:16:02,835 - Eye - INFO - ['Epoch:03, Iter:100, Lr:0.00002500', 'Loss:0.8120', 'train_acc:70.61']
2021-05-02 13:16:12,282 - Eye - INFO - ['Epoch:03, Iter:120, Lr:0.00002500', 'Loss:0.8090', 'train_acc:71.20']
2021-05-02 13:16:21,716 - Eye - INFO - ['Epoch:03, Iter:140, Lr:0.00002500', 'Loss:0.6985', 'train_acc:71.55']
2021-05-02 13:16:30,851 - Eye - INFO - ['Epoch:03, Iter:160, Lr:0.00002500', 'Loss:0.7341', 'train_acc:71.92']
2021-05-02 13:16:40,250 - Eye - INFO - ['Epoch:03, Iter:180, Lr:0.00002500', 'Loss:0.7124', 'train_acc:72.46']
2021-05-02 13:16:49,823 - Eye - INFO - ['Epoch:03, Iter:200, Lr:0.00002500', 'Loss:0.6191', 'train_acc:72.90']
2021-05-02 13:16:59,339 - Eye - INFO - ['Epoch:03, Iter:220, Lr:0.00002500', 'Loss:0.5241', 'train_acc:73.18']
2021-05-02 13:17:08,502 - Eye - INFO - ['Epoch:03, Iter:240, Lr:0.00002500', 'Loss:0.7287', 'train_acc:73.76']
